2022/11/26	15:46:42	5cbe45d0-6976-4a40-814c-21cbf4d59253	/new-page.html 	 GET 
2022/11/26	15:46:42	b917fd9a-accc-48bf-923e-502d663a173c	/css/style.css 	 GET 
2022/11/26	15:46:42	a410d3f8-f0db-4b66-8900-053fed0f099b	/img/Dhruv3.png 	 GET 
2022/11/26	15:46:47	db3112c1-388b-4380-ae4e-f4c6df68cea4	/old 	 GET 
2022/11/26	15:46:47	a61ab96c-5386-48f5-af03-2a08fdb9f352	/css/style.css 	 GET 
2022/11/26	15:47:23	ec048991-c2c6-4e56-9b45-0eaf4421aed8	/old 	 GET 
2022/11/26	15:47:58	4cca4ad1-6358-45ad-ba7e-44e431a8265a	/ 	 GET 
2022/11/26	15:47:58	4e690776-2ef7-4507-9579-869e05642c3a	/css/style.css 	 GET 
2022/11/26	15:48:19	e158b638-204f-4d71-bf21-ca32fff9327f	/new-page.html 	 GET 
2022/11/26	15:48:19	38018c3a-3e7d-4764-908d-eadd44475733	/css/style.css 	 GET 
2022/11/26	15:48:19	a0ef91ec-97f7-4850-ab36-7020e44c7b9c	/img/Dhruv3.png 	 GET 
2022/11/26	15:49:09	22ac095c-f557-4fc7-a281-8a769b93e7a2	/new-page.html 	 GET 
2022/11/26	15:49:09	b869bd03-e41e-46d3-a36d-c8800ef61d2f	/css/style.css 	 GET 
2022/11/26	15:49:09	3e184d02-8f9e-4787-8ed8-f83afc9da9c6	/img/img.png 	 GET 
2022/11/26	15:49:09	e3e67ad4-f2ff-45b4-9eb1-218e4d1d5d47	/new-page.html 	 GET 
2022/11/26	15:49:09	35c3e8e3-56d7-4b2d-979a-0018e64e8060	/css/style.css 	 GET 
2022/11/26	15:49:09	70270425-de53-4664-8f7a-4b04e7b25eaf	/img/img.png 	 GET 
2022/11/26	15:49:11	1f540913-ead1-43d2-8ac5-74a6324ad14a	/new-page.html 	 GET 
2022/11/26	15:49:11	6a4bb8d9-d9bb-4916-ae32-77ccf1804a13	/css/style.css 	 GET 
2022/11/26	15:49:11	2448d3f5-8c53-4977-8b80-1fc2f4f64727	/img/img.png 	 GET 
2022/11/26	15:49:11	0f62ae0e-72ec-4e20-bc55-3d8b63715140	/new-page.html 	 GET 
2022/11/26	15:49:11	2ec083d4-5308-4e95-8d10-9aef49d85236	/css/style.css 	 GET 
2022/11/26	15:49:11	7c6fd8d9-cc35-4c00-8261-ffac1f373466	/img/img.png 	 GET 
2022/11/26	15:49:12	29633595-ef06-4bec-8124-466170a3c49d	/new-page.html 	 GET 
2022/11/26	15:49:12	0dfeaab3-868b-4517-b2e5-8f774a01a748	/css/style.css 	 GET 
2022/11/26	15:49:12	1136a7f0-982d-4cdf-aa40-681d3ca8ebac	/img/img.png 	 GET 
2022/11/26	15:49:13	8adb8c0e-5bd9-4ae8-848f-aeea8235bf95	/new-page.html 	 GET 
2022/11/26	15:49:13	2fa4820b-e953-4054-8194-984a43725c93	/css/style.css 	 GET 
2022/11/26	15:49:13	5a18ad6b-6040-4866-8524-ae35ddc4ff2d	/img/img.png 	 GET 
2022/11/27	14:26:35	91c84d21-9610-416e-8d41-432ca62cfd04	GET 	 undefined 	 /new-page 
2022/11/27	14:26:40	3f0d51aa-3bc7-4785-a03d-f5778d66d918	GET 	 undefined 	 /new-page 
2022/11/27	14:29:11	320d4a2c-360a-4413-9cab-a51669ea07e7	GET 	 undefined 	 /new-page 
2022/11/27	14:29:15	af5f3a59-d785-4cf5-a91e-fa1149d8825b	GET 	 undefined 	 / 
2022/11/27	14:29:19	de7bf12f-3152-4427-8d3e-f6a0b6799236	GET 	 undefined 	 /index 
2022/11/27	14:29:22	ed2ca0ec-b617-44d0-98de-89fc0164e051	GET 	 undefined 	 /data/data.json 
2022/11/27	14:29:32	9a9d3e35-9c98-4b0d-b1b0-5998f03102f1	GET 	 undefined 	 /css/style.cs 
2022/11/27	14:31:54	f4a94735-8b10-40d3-a86c-644d5684c159	OPTIONS 	 https://www.google.com 	 / 
2022/11/27	14:31:54	09bbffde-09c0-435a-9170-db0ebc1ee526	GET 	 https://www.google.com 	 / 
2022/11/27	14:35:44	5ed28a83-cf8f-40cb-b9c9-2ee3a3ef93e8	OPTIONS 	 https://www.google.com 	 / 
2022/11/27	14:35:44	ebf3bf8d-af86-4f82-972f-0e17d56ecbeb	GET 	 https://www.google.com 	 / 
2022/11/27	14:36:10	69f5d518-68ff-4a42-9288-0f35debbd510	OPTIONS 	 https://www.google.com 	 / 
2022/11/27	14:36:10	95634cf6-422d-4164-8153-9861d3f5ef64	GET 	 https://www.google.com 	 / 
2022/11/27	14:39:46	f760d4b1-ecee-43cf-8760-4829d7b03e19	GET 	 undefined 	 / 
2022/11/27	14:39:55	e15a9cca-b6f3-435c-be73-b3bda55f9766	GET 	 undefined 	 / 
2022/11/27	14:40:01	f2d384e6-d931-41d2-ab65-e004545282cd	GET 	 undefined 	 / 
2022/11/27	14:43:18	806df9e2-2bbf-4ac2-8041-2bf61630a571	GET 	 undefined 	 / 
2022/11/27	14:43:24	9d8545c2-6183-4770-8e2c-09699fdb3529	OPTIONS 	 https://www.google.com 	 / 
2022/11/27	14:43:24	3ade106b-6acd-43c6-9797-376579969329	GET 	 https://www.google.com 	 / 
2022/11/27	16:32:21	b1f46561-2ef3-45d4-9e98-e978d86a9f07	GET 	 undefined 	 / 
2022/11/27	16:32:47	f771570a-e9f6-465d-86b2-70bb5fe186d2	GET 	 undefined 	 /subdiacs 
2022/11/27	16:32:54	c74e9433-d4ec-436b-ab15-1533c06643c7	GET 	 undefined 	 /subdir/sfamnc 
2022/11/27	16:33:06	feb3081e-f690-4439-98da-20d7726d87b0	GET 	 undefined 	 /subdir/sfamnc 
2022/11/27	16:33:12	4b2fefb8-0b17-4269-b34f-c4659be6eb7f	GET 	 undefined 	 /subdir/soijj 
2022/11/27	16:33:24	c5228d10-e441-49dd-9b9b-b737115d7543	GET 	 undefined 	 /subdir/soacnx 
2022/11/27	17:04:59	69e26347-737d-4e1d-b093-6d0309659c15	DELETE 	 undefined 	 /employees/1 
